"Line Number","Product Part","Product Name","Start Date","End Date","Net Unit Price","Max Quantity","UOM","Net Unit Price UOM","Active"
"1.236","B88160","Oracle SOA Suite Cloud Service - B2B Adapter for EDI - OCPU per Hour","10-01-2020","09-30-2025",0.32600000,,"OCPU PER HOUR","Monthly","true"
"1.062","B88161","Oracle CASB for SaaS - Enterprise User - Monitored Service User Per Hour","10-01-2020","09-30-2025",0.00080000,,"MONITORED SERVICE USER PH","Monthly","true"
"1.063","B88162","Oracle CASB for SaaS - Non-Enterprise User - Monitored Service User Per Hour","10-01-2020","09-30-2025",0.00060000,,"MONITORED SERVICE USER PH","Monthly","true"
"1.216","B88163","Oracle CASB for IaaS - Monitored Account Per Hour","10-01-2020","09-30-2025",0.91750000,,"MONITORED ACC PER HOUR","Monthly","true"
"1.237","B88164","Oracle CASB for IaaS - Additional Capacity - Gigabyte Data Capacity Per Hour","10-01-2020","09-30-2025",0.19320000,,"GB DATA CAPACITY PER HOUR","Monthly","true"
"1.086","B88165","Oracle CASB for Custom Apps - Monitored App Per Hour","10-01-2020","09-30-2025",1.20710000,,"MONITORED APP PER HOUR","Monthly","true"
"1.222","B88287","Oracle Java Cloud Service - Enterprise - OCPU Per Hour","10-01-2020","09-30-2025",0.20860000,,"OCPU PER HOUR","Monthly","true"
"1.238","B88288","Oracle Java Cloud Service - Standard - OCPU Per Hour","10-01-2020","09-30-2025",0.20860000,,"OCPU PER HOUR","Monthly","true"
"1.105","B88289","Oracle Java Cloud Service - High Performance - OCPU Per Hour","10-01-2020","09-30-2025",0.52150000,,"OCPU PER HOUR","Monthly","true"
"1.239","B88290","Oracle Database Cloud Service - Enterprise Edition - General Purpose - OCPU Per Hour","10-01-2020","09-30-2025",0.28970000,,"OCPU PER HOUR","Monthly","true"
"1.223","B88291","Oracle Database Cloud Service - Enterprise Edition Extreme Performance - General Purpose - OCPU Per Hour","10-01-2020","09-30-2025",0.90530000,,"OCPU PER HOUR","Monthly","true"
"1.106","B88292","Oracle Database Cloud Service - Enterprise Edition High Performance - General Purpose - OCPU Per Hour","10-01-2020","09-30-2025",0.59750000,,"OCPU PER HOUR","Monthly","true"
"1.170","B88293","Oracle Database Cloud Service - Standard Edition - General Purpose - OCPU Per Hour","10-01-2020","09-30-2025",0.14480000,,"OCPU PER HOUR","Monthly","true"
